MaSP,TenSP,SoLuongTon,MoTa,Gia
SP19403212,Muc vai thieu 735,745,,446089
SP79463827,Snack bap 535,694,,106864
SP49877027,Banh sau rieng 175,976,Mau ma đep,800640
SP95898762,Muc chuoi 367,935,,990766
SP31780500,Nuoc nho 295,221,Thom ngon bo duong,539930
SP77138598,Kem đao 133,178,,536399
SP71601532,Banh dau 389,275,,632442
SP49611455,Banh chuoi 945,402,,279710
SP81420422,Banh đao 771,139,Mau ma đep,84665
SP75977964,Nuoc sau rieng 670,840,,149262
SP34829962,Nuoc quyt 195,877,San pham tot,597773
SP66573165,Sua buoi 279,392,,51888
SP80385459,Banh cam 187,143,,438758
SP14462160,Kem xooai 465,434,,630266
SP95056857,Banh man 420,290,Mau ma đep,644340
SP81005014,Banh xooai 105,839,,880757
SP43207528,Kem man 224,425,Kieu dang tien loi,820108
SP31174401,Nuoc cam 443,147,,667573
SP32064304,Snack thanh long 606,109,,295013
SP70723103,Nuoc nho 511,252,,20041
SP40720045,Nuoc bo 702,101,Mau sac tuoi tan,347183
SP73390908,Snack dau 444,465,,563551
SP41202623,Muc mang cut 488,673,Thom ngon bo duong,179372
SP81322647,Muc nho 678,963,,263579
SP68921491,Snack quyt 526,919,,31324
SP72315710,Sua đao 389,434,,351098
SP59484908,Nuoc hong xiem 668,821,San pham tot,558517
SP29781425,Muc thanh long 415,691,,48102
SP51675624,Snack xooai 871,910,Mau ma đep,14435
SP56011378,Kem rong bien 678,431,,620865
SP22060463,Muc chuoi 824,214,,208856
SP57029237,Banh man 866,414,,806535
SP58766458,Kem chuoi 828,985,San pham tot,820666
SP27294361,Banh nhan 185,771,,870093
SP26614223,Snack thanh long 732,841,Mau ma đep,972445
SP56848920,Banh dua 190,433,,565196
SP73658981,Sua khoai tim 111,284,,900648
SP92635993,Banh đao 151,563,,723989
SP45511698,Banh mang cut 488,419,Kieu dang tien loi,243862
SP87698545,Kem rong bien 636,221,,929382
SP22481461,Sua nhan 350,755,Mau sac tuoi tan,178320
SP56122402,Snack mang cut 773,493,,103365
SP24198196,Snack nho 243,613,,662679
SP63905209,Banh bap 739,227,,164654
SP30271319,Nuoc xooai 740,271,Ngon bo re,838843
SP43119677,Muc buoi 634,818,,737865
SP30262146,Banh cam 321,563,Mau sac tuoi tan,422886
SP51696912,Nuoc đao 169,529,,700415
SP52495032,Snack sau rieng 497,361,,201171
SP71307753,Muc khoai tay 148,314,,350339
SP59823996,Sua chuoi 898,227,Ngon bo re,600573
SP61785843,Sua mo 252,154,,834779
SP70401164,Banh xooai 492,861,Kieu dang tien loi,679739
SP86776777,Sua rong bien 183,431,,169003
SP37759022,Banh cam 711,356,,656520
SP84750820,Banh bo 470,374,,297983
